text,total_words,num_nouns,num_verbs,num_adjs,avg_word_len,label
"I love to read him and my hobbies as duty. Emma discord her love for reading at an English. When the pages of a one-door fairy tale book transported her to a world of magic and abvenge her. Now with the bustling carriage and fast-paced in life, reading has become her sanctuary as we are funding after a long day. This reading was very inspiring to me so that I started reading by inspiring her and her collection has grown significantly over the years, filling her bookshelves with the rich taskery of germ changing from mystery and science fiction to historical fiction and contemporary literature. On weekends, I used to read in sessions extended to lazy afternoons in a nearby park and quiet shapes where the badwin ham of nature or the soft murmurs of people at the comforting soundtrack to her literacy adventures. So reading is not only an exposed episode.",162,41,25,12,4.395061728395062,3.0
"I enjoy the most about my hobbies listening the music when I feel free when I'm inside or in happy away prefer to listen the music. The tools that I can need to use the tools that we need to use, we do is that it laptops, laptop, mobile phone and television by using different apps. I can listen the music. I prefer to listen with my friends, with my family members. It is a great feeling when we listen to that music. When we listen to that music, it feels...",103,16,21,6,3.592233009708738,3.0
I used to play cricket and football in my playground of the school and I enjoyed a lot in my playground. Sometimes when I was bored so I wanted to go in my playground and there I played lots of cricket and I enjoyed a lot. My playground was very huge and green and the playground was beautiful and it so looked nice. The playground was very huge and when I was playing in the playground of football that was a very amazing day for a football player.,92,18,16,6,3.9347826086956523,2.0
"I have a shoulder state too WithoutMusic No$%! selected for the silvers, chromework and inside the walls into this light white and small wall and sparkler like set-meant inside of the wall as it increases my speed as it would double or in different days of its stuff from table and handless monomes, origins and the gives me a lot of soft shit. It is a good habit because I also take the ascorts a lot of knowledge in various fields. There are several channels on table which represent well-developed affairs. I was the news and I liked channels such as an open-up discovery channel or another informative channel. These are also based on my curious and encouraged which learn about different aspects of life.",135,33,15,18,4.333333333333333,2.5
"The smartphone application that I use the most is Facebook and we all know that Facebook is a social media app that really captured your attention. Maybe it had a user friendly interface with a vibrant feed where you could easily scroll through posts from friends and family. You probably enjoyed sharing updates, photos and memories while connecting with others through comments and likes. That might have features like groups of your interests, events to keep track of and perhaps even a marketplace for local buying and...",93,26,14,3,4.720430107526882,3.5
"People in the market are selling fish in the morning and a lot of meat because people go there to buy food for their restaurants. Before they start to cook, they go there to collect the products they need. You can hear a lot of people shouting, they want a bargain. So they speak enthusiastically to get them to the marketers to put their prices down. You can see that in the morning there are a lot of people there. There is a change of scenery throughout today where there are gradually less people in the market. You can sense a lot of.",112,24,20,1,3.9017857142857144,3.0
"A muskle playground is wide and huge. It has the ground, has a sand on it. There are slides, seasaws and swings around it. Many children play on the playground. They were laughing so hard and they were talking with their playmates and their parents. On a different day. Other than children, there are also adults who are in there, as well as their teachers who give them security and instructions on what to do, and to ensure that they are secured and safe while having fun playing with their friends. Of course, they enjoy playing around with their friends too.",115,20,20,8,4.017391304347826,4.0
"The best day of my life was when I entered a lottery game and I won. I wasn't expecting to win, but I won anyway. I was able to win a lot of money, not too much money, but at least money that I was able to buy some few things that I needed at that time. So I was so happy, I was able to join. Now when I think about that day, I will smile and be thinking, oh, that was a good day and I shared it for myself. It makes me so happy.",111,12,22,10,3.0,3.0
"is smoothing effects. Besides this I also have obvious such as reading comic books, painting, writing narrative stories and maintaining a scrapbook. These activities make me happy and enhance my hidden qualities. Writing and reading boosts my imagination. Along with these activities, I participate in gardening in my dessert time. Because I love to plant new and colorful moreover, I like dancing and singing. These are the activities I often do whenever I find time. After completing my studies and homework, I participate in singing and dancing competitions as well. Because I like to sing and dance. My teachers and parents always appreciate and encourage me to pursue my hobbies. Every human being on the earth is unique, not only in terms of appearance.",141,27,28,11,4.51063829787234,3.0
"School. First of all, my school name is Newellittles School. It's located at Kismarpur and the scene happened at school that school played around. One cell was felled on from the second floor to the ground. That is a biggest scene which I saw at my playground as well as school playground. I have taken that boy to a principal that he have leading with a",73,18,14,2,3.958904109589041,3.0
"I was in a crowded market. There is vendors everywhere. They are selling fruits, vegetables, they sell dry goods. I'm actually not decided whether we're reliable. So there's a lot of vendors, there's a lot of people in the crowded market since it's crowded. There's a lot of goods where you can choose the where you can choose to buy. So there's fish, there's meat, there's vegetables, there's a lot in here like dry goods where there's a variety of choices for you can choose to",109,18,21,7,3.614678899082569,2.0
"I consider the best day of my life to be when I went on a trip to a tropical paradise. A morning started early with birthshipping and veal scratching against the shore and the sun shining through the window. I spent a day lounging from the beach, relaxing under the sun and swimming in a crystal of the river. The evening I watched the sunset from a rooftop bar while slipping on a fresh, refreshing cold drink. It was a completely carefree day filled with relaxation and enjoyment and I would like to visit there once again. Another best day of my life. When I visited a new state, it was very, very exciting. I explored the streets, triton, roads and more myself in the new culture. So all the travelling days were being a better day of my life. Thank you.",158,35,20,13,3.9050632911392404,3.0
It is another busy Monday at Seoul Station. There are office workers with briefcase running late for work and students with backpacks running to catch the train. There are also homeless people lying on the bench while on the platform while waiting for the train to pass. There are also people selling food and drinks on the platform and there are also a few abandoned machines that people can use to buy something they need.,79,22,15,3,4.430379746835443,3.0
"I will describe my favorite holiday destination, is somewhere in Singapore. So I saw the beautiful destination there, like Marina Bay Sands, Gardens by the Bay, the St. Tosa, and then also the Universalist's Tucho. So I would appreciate the surroundings there or the background there. So I would appreciate those things, and then also the areas. So I would, I am happy when I, if ever I would come back to the Singapore, I would be. Thank you.",95,19,8,3,3.8421052631578947,2.0
"There's a crowded market. There's a variety of various dignacks and electronics, magazines and books and things like that, almost like a flea market. On the perimeter, those are the sort of items you see alongside various snacks. There's lots of people chattering, you hear some bargaining around you. And as you get closer to the interior, you see the core of the market. It's mostly food. Regular people can shop there, but it's a lot of restaurant things like whole fish, large sides of beef, things like that. You see a great amount of variety of vegetables, everything sold, mostly intended to be sold in large quantities. It's the reason for that.",138,33,18,10,3.920289855072464,5.0
"The hobby that I enjoy the most is painting. Painting brings such a calm and relaxing experience for me and it helps me advance my creativity. The tools that I need for painting are the canvas, the colors, the paint brushes, the color mixing tools. I love enjoying painting on my own but I also love it with my children because it brings out the creativity and also helps me realize what kind of things.",82,18,16,2,4.012195121951219,3.5
"My stay at the reserve was really nice. It was really good. It was an old included reserve. The food was really amazing, really tasty. The services included customer service at the room, all included full, including breakfast, lunch and dinner, and I could use the pool. So it was a really amazing experience. Also the customer service was really fast and they were really kind to me. They were really friendly and I did have a really amazing time there.",94,17,14,11,3.978723404255319,3.0
"I remember when I went to Goa for a trip, then there was a good holiday destination and I saw some of the children was playing on the beach beside the beach and some ladies and gents also taking the chill up on the beach and they are feeling fantastic and I saw very well and I enjoyed a lot at that time and that was a good experience in my life and I haven't got forget this moment and this was the good time.",88,17,16,4,3.715909090909091,2.5
The scene of the airport I've been two weeks ago was like a rest room and some daddais are so many many companies or stores from the culture topics or some global companies like McDonald's or KFC or something like that. There are two runways for the sweet cases in case there are two heavy and there are many security persons and cops in a way for control and any situation that could be in the airport.,81,24,8,6,4.037037037037037,3.0
"I love going to the beach. The beach in Costa Rica is one of my favorite places to travel to. Although it is not a white sand beach, the water is fairly calm and is always warm. There are so food stations scattered around beach which makes it an easy to spend all day there. The people are friendly and there's always something to do. It is also very safe. If you want to you can explore the beach and see all different types of wildlife including birds and occasionally crop it out. There are also smaller beaches that are cold like beaches. You have to hike through the woods to get to them but it is like a little secret journey. Realistically I would try to go to different beaches every day while I'm in Costa Rica because they all have a different experience. Some of these just allow it and grow it and other secluded and quiet.",173,29,33,15,3.913294797687861,5.0
"Hello, good day everyone. My topic for today is in regards to school playground. School playground is a very nice and very happy place for me because it gives me a lot of memories and forgetable memories with my best friends. So what we do back in the day when I was a kid is we play hide and seek. We play play station in the playground. Sometimes we do playing shooting game. Sometimes we play ball game, volleyball. Sometimes we do play different different in",95,22,15,9,3.968421052631579,2.5
It is the base being market of the city. So everyone come to here for shopping for every weekend on time. We can earn all the time. So this is the most crowded place in the weekend and all the times because everything is wholesale and retail pricing and low pricing and every time there is a scheme and some bonus of this there. So everybody like and shop here and come to the every time and enjoy the shoppings and all that here. So it is a very crowded place market.,98,23,10,5,3.8469387755102042,2.5
Once I went to the hotel and it was a resort in the beach. I went with my family and my two daughters and my son wanted to go to the restaurant in the resort and we went to eat great food. It was the most delicious food that we have eaten during our travels and it was a great experience. We had a lot of fun.,71,14,12,3,3.4225352112676055,3.0
"Certainly, Air Boots speak typically first to the unique language. Let us describe what could be the scene on the airport. When I was walking to just checking my tickets and to board my flight, I saw that a man was sitting beside a lady, was reading the newspaper and flight attendants and gate to our agents communicate with coincide codes and phrases, and showing efficient operations.",74,19,14,2,4.337837837837838,2.5
"My favorite hobby is cooking food. Cooking food is my passion. I love to cook such different kinds of foods which I love to eat the food and cook the food, feed the food to different kind of people. I like to cook different kinds of varieties of food which were very unique. I would sometimes it may fail and sometimes I would cook very good many of the people appreciate me for my food and most of the people love my food which I cook and that was my most favorite hobby. There are many tools that in my hobby were I just enjoy my hobby. I would just enjoy making food. Making food is my hobby and I just love making different kind of food and feed to them. Mostly allow me to cook food.",147,29,30,13,3.7551020408163267,3.0
"I recently visited Tirumala. Such a wonderful place. I am here and along my friends, plan to move on Tirumala on train. It is a wonderful fascinating journey. A lot of memories are grabbed, grabbing in that journey and bonding also. Tirumala is a sambar and dosa, is a favorite dish. It is a good...",65,16,10,4,3.769230769230769,2.5
"Well, I went to New York and I was going to in the evening. It was my favorite band or one of my three favorite bands playing in Brooklyn. So I was going to that. And in the morning I got an ad on Facebook advertising the Book of Mormon, the musical, which I really wanted to see. But I don't know. I had like totally forgotten about it by the time I actually was in New York since it came out a few years before. And yeah, I ended up getting a ticket. So went around New York, ate a bunch of great food like New York pizza, bagel. And yeah, I went to see the Book of Mormon, then I walked around some more, looked at the UN, went to see my favorite band, took the ferry back to Stan Island, and while eating like bacon eater out on the ferry looking at Manhattan and the night, it's such a liberty. It was great.",191,39,32,8,3.392670157068063,5.0
"Instagram is a free online photo and video sharing application and social networking application. Instagram also allows to use us to edit an upload photo, short videos and users can add",33,11,6,4,4.696969696969697,3.0
"We are here to, we are here to further a beautiful scenery and beautiful yard in our resort and it's a really nice place here and it has the largest pool and a good foot and I like the architecture of this resort and I like the food is really good and the people were so kind and good the service is really excellent and the management is like totally good to the people it's really a wonderful place you can visit and we actually with my family I hear with my family it's really a good place cool thing it's a nice place",109,20,15,13,3.834862385321101,2.0
"Well, the scene of an airport depends a lot of the country. Most of the times it's a very organized environment with a lot of security. Also sometimes can be a little bit chaotic because of the people that arrive, that arrive there like every single day of the year. And there's also a lot of fast food when you can go and grab a drink, grab something to eat, and have a good time while you wait for your plane to arrive. And also you have the duty free where you can get a lot of good brands and renamed brands for a tip price.",117,23,16,10,3.6153846153846154,3.0
"A school playground is designed to provide an environment for children that facilitates play or typically outdoors. Some are designed for other age groups or also people with disabilities, but basically a scene of a school playground consists of children and playing together with their friends. Not just having fun, some are also eating their lunch in the school playground after playing and also together with their families. They're just really having some fun while they have their time.",86,21,16,1,4.8023255813953485,3.5
The scene of the airport I've been two weeks ago was like a rest room and some deadpies are so many many companies or stores from the culture topics or some global companies like McDonald's or KFC or something like that. There are two runways for the sweet cases in case that are too heavy and there are many security persons and cops in a way for control and an hesitation that could be in the airport.,81,24,8,6,4.037037037037037,3.0
"My goal in life is to save the planet. There is a serious need that we, human beings, need to save our Earth because we are facing a serious crisis of climate change. There is a flood that everything is all. My goal is to educate my community on how we can recycle, on how we can change what we do things and on how we can make our planet a better place for our future children. They have to enjoy what we have enjoyed. They have to see what we have seen. Animals are being scattered. Everything that sees it everywhere is dirty. So we have to change the way we do things. We have to do things to better our future. We have to change the way we do things.",146,25,37,6,3.589041095890411,4.5
"The topic is to describe your stay at a resort. So when I reached the resort with my family, it was during the summer. So it was very hot and sweaty. But after reaching the resort, the weather is so pleasant because of its beautiful ambience around and the food they served is truly lovable and they have different kinds of cuisines and the service they made is also very good. And they also have the private clubs which we can enjoy ourselves and it is near by the beach. So we spend more time in the beach with my family.",109,18,16,9,3.8807339449541285,2.0
"I can see planes that are ready to take up many people, families, children, security awards, also people who are buying or handing out tickets and all men who is reading the newspaper while his granddaughter is playing. And I can see people saying goodbye to their family doing calls, watching the airport screens, people crying and others ki-wing to get on the planes. And also I can see my family who is waiting for the next flight. And also I can see people who are very angry because they had a problem and in the airport maybe because with their package I don't know. And also I can see that boy who is sitting in...",128,27,28,4,3.953125,2.5
"Well, if we talk about a school program, it's really common to see kids running for everywhere. Well, I used to play the Anda. I played the Do-Touch, another person, and the other person come to follow us to touch other. Also, you can see the kids playing football. Well, it's right only to see playing basketball, but there's people who like to play basketball. So, I don't know. Obviously, a lot of kids start glossing around.",98,14,22,5,3.5918367346938775,3.0
My special hobby. My favorite hobby is watching TV whenever I have a free time. I love watching television. It is very abstract. My studies. Hobbies help us to expand our knowledge and it teaches us several things. First I like to finish all my school homework and then I start watching TV. The high latens men would and sparks of the excitement inside me has it increases my curiosity about the world. Wait watching different useful stuff on TV and chances my knowledge or origins and gives me lots of joy. It is a good habit because watching TV explores lots of knowledge in various fields. There are several channels on TV which represents world wide affairs.,129,36,22,12,4.224806201550388,3.0
Describing about the best day in my life is not a particular day but I think every day start with new hope and new experiences. So every day we have to think that it is a new chance or a new day to make and not about a single day as a best day. I will try to make every day as a best day in my life. Not only a single day but I will treat every day as a best day and make every day as a special day in my life. Thank you.,101,21,12,11,3.227722772277228,2.0
"My favorite place to visit is a Innitichu beach, a tukka away from the Huzzil and a basil of the wall, a picture of the wall. My favorite place to visit is to Paris because I am so excited from the childhood to visit Paris. Still now I am not visited to that place but I am like to visit to that place. I won't explore this country and that city.",78,16,11,4,3.5384615384615383,3.0
"We have many people in this road and we have lot of people working on the market where we are staying in the city. Some people are working for the business, some people are working for the groceries and some other times etc. In the clothing market, we have lot of things which we are buying for the dialysis or regularities or some other purpose. Some people are roaming in this and some people are buying something for the needed, for some people are buying further, monthly groceries or etc.",98,22,22,4,4.122448979591836,3.0
"Hmm. A favorite place to visit is Amal. To these to the mall, I first I take a bus. Which drop me. Which drop me at the location where from where the mall is 2 kms away. Then I have to reach to the mall from the location where the bus dropped me. I took an auto. Then I reach to the mall and I see where more. And I see a lot of people are approaching towards the mall to chill.",92,19,16,2,3.2282608695652173,3.0
"What I remember the best day of my life is when I got hard in a PPO industry, it's my first time because I am a fresh graduate in senior high school and I met a lot of girlfriends and now I am independent that I can provide to my family because I am a breadwinner and I am grateful that I got hard from my first job experience which is in a call center I'm grateful for that",82,15,13,9,3.6097560975609757,3.0
"My favourite hobby is drawing and I love to draw the pictures and I enjoyed the lot when I was drawing and I used some tools to draw and tools are like pencil, eraser, scale and colors and something like cotton to wrap the colors and while I'm drawing a new picture I'll involve very deep and I'll draw and I love to draw the pictures and I like to enjoy the practicing my own hobby that is drawing with a",86,15,22,4,3.7790697674418605,2.5
"My favorite place to visit is Puerto Rico. This place is very peaceful. I had to travel from USA like New York and I need to take my plane to Puerto Rico to San Juan, but there is like an island near Skull Culebra. It is very, very, very small, but with lots of beaches and places to go and eat food. The winter season is the most peaceful and beautiful.",80,21,12,5,3.55,3.0
"Last week I went to a beautiful resort by the beach. The weather was really nice and the breeze was amazing. If I talk about the food, the food was also very good. We also got to do many activities over there like scuba diving. We also did snorkeling. We had an amazing experience spending the night in the resort and doing all the adventures with it. It was an amazing and a beautiful time that me and my family spent at the resort. The food had varieties of food over there. They had Italian, Chinese, Asian, multi-cuzzi over there. The food, the place, everything was amazing.",123,23,19,12,3.845528455284553,4.0
of a lot of people in this market crowded so crowded of because of the market so crowded because of the sale of the of the father shows that I'm sure of it it will it will hurt for me to to go buy some,46,6,7,2,3.4130434782608696,1.0
"In Aflod, when I arrive, I see houses submerge under the cold water. Fast moving floodwaters, the streets look like rivers with cars and flood struts. Emerging sirens rescue people with boats, residents stand on foot, balconies. There are others that have to evacuate their houses with their pets and they have to go to a safer place. With their things carrying up medical supplies and food and clothes, they will have broken branches, bruised toys and even garbage. The rest take with the smell of gasoline and the app add and we only see the troops of threes and the",113,36,17,3,4.1415929203539825,2.5
"You can hear a crowded market before you can see it. Then you have to go off any of the noises that claim you have changed the ups and downs as people write what their bags are trying to figure out which is the best peat to the bunge. Markets are big. Markets can continue tight with many people passing through each other like sardines hoping to find the next best deal. You have people selling fruit, people selling produce, but their own chickens made. You have people selling their own layers as though they are also somehow artisan. In the morning you can have vendors coming in, restocking as it gets to a lot of the day. Pitching probably around 3pm or 4pm with slowly dying down.",139,24,30,11,4.028776978417266,4.5
"If you are at Habibi, say, Gradmi, I love how to let me connect with the nature and see the beauty of the hands growing. All I need are some basic tools like a shield and a lake under water and can enjoy guarding both on my tongue for quite reflection and sometimes with friends or family for a fun and collaborative experience. Whether I am digging in the soil alone or sharing, I am guarding with others. It always brings me a sense of full-vayment on the happiness. I love to guard me. It is very interesting.",108,20,20,4,3.8425925925925926,3.0
"My favorite holiday season happened in last year and we, me and my family go there. We've been planning for a long time to go that place and it's about 145 kilometres away from my home and that place is called Munar which is a very heaven-honoured place to visit and there is a lot of place to visit Munar and we specifically go away place called Watavada and Watavada is kind of a forest area which is really amazing and we go there in the months one season and it's really amazing to visit that place. It's a great experience.",109,24,21,7,3.926605504587156,2.5
"Well, the playground looks like a green, filled with green grasses, different kind of toys, different kind of play games, activities. There are lots of activities there. You have the different kind of swing, the roller coaster. You have a size area, you have a bench, a bench and a chair, you have a table, you have a relaxing environment. Then you hear lots of sound for the children when they play around, a lot of shouting, a lot of playing happiness in general. Yeah, that's how the playground looks like. And that's how it feels to be on the playground, which is very, very, very fun. For kids and adults in general.",139,33,18,7,3.661870503597122,3.5
