filename,label
audio_197,2.5
audio_104,3.0
audio_82,3.0
audio_211,3.5
audio_250,3.0
audio_40_2,2.5
audio_328,2.0
audio_219,4.0
audio_156_2,2.5
audio_365,5.0
audio_90,3.0
audio_196,4.0
audio_164,2.0
audio_148,3.0
audio_235,3.0
audio_93,2.0
audio_70,2.5
audio_124,2.5
audio_97,2.0
audio_144,2.5
audio_311,3.0
audio_98,3.0
audio_238,2.0
audio_69,3.0
audio_24,3.0
audio_38,3.0
audio_145,3.0
audio_123,5.0
audio_272,2.0
audio_183,3.0
audio_68,3.5
audio_352,3.0
audio_220,2.0
audio_291,5.0
audio_325,3.0
audio_232,3.0
audio_126,3.0
audio_147,5.0
audio_350,2.0
audio_87,3.0
audio_1_2,3.0
audio_210,3.0
audio_77_2,2.0
audio_348,2.0
audio_355,2.0
audio_341,3.5
audio_184,3.0
audio_327,2.5
audio_290,3.0
audio_286,3.0
audio_308,3.5
audio_130,2.5
audio_39,2.5
audio_12,3.0
audio_276,3.0
audio_186,3.0
audio_229,2.5
audio_113,3.0
audio_180,3.5
audio_297,3.5
audio_275,5.0
audio_266,3.5
audio_118,2.0
audio_58_2,3.0
audio_284,2.5
audio_181_2,2.5
audio_279_2,2.5
audio_371,5.0
audio_368,3.5
audio_165,3.0
audio_259,3.0
audio_137,2.5
audio_155,3.0
audio_200,3.0
audio_198,3.0
audio_369_2,2.0
audio_3,3.5
audio_233,3.5
audio_205,2.0
audio_116,3.0
audio_356,2.0
audio_245,3.5
audio_27,3.0
audio_121,2.0
audio_234_2,3.0
audio_225,3.5
audio_322,2.5
audio_273,2.5
audio_323,3.5
audio_351,3.0
audio_247,3.0
audio_128,2.5
audio_75,4.5
audio_330,4.5
audio_30,5.0
audio_84,2.5
audio_338,2.0
audio_108,5.0
audio_334,2.5
audio_134,2.0
audio_298,3.5
audio_45,2.5
audio_315_2,3.0
audio_66,3.0
audio_86,1.5
audio_243,2.5
audio_187,3.0
audio_160,2.5
audio_13,3.0
audio_36,2.5
audio_29,3.0
audio_171,3.5
audio_143,2.0
audio_326,2.0
audio_278,2.0
audio_222,3.0
audio_96,3.0
audio_52,3.5
audio_241,2.5
audio_306,2.5
audio_312,2.0
audio_179,2.0
audio_42,3.0
audio_318,3.0
audio_207,3.5
audio_283,2.0
audio_255,2.5
audio_339,3.0
audio_5,3.5
audio_257,3.0
audio_366,3.0
audio_101,3.5
audio_227,5.0
audio_115_2,4.0
audio_214,3.5
audio_172,3.0
audio_99,3.5
audio_293,2.0
audio_216,3.0
audio_62,3.0
audio_48,2.0
audio_33,2.5
audio_268,3.0
audio_201,2.0
audio_370,3.0
audio_28,2.0
audio_367,2.5
audio_231,2.0
audio_261,2.0
audio_289,2.0
audio_163,2.0
audio_347,2.0
audio_139,3.0
audio_63,2.0
audio_136,3.0
audio_129,3.0
audio_9,2.5
audio_65,3.5
audio_301,3.0
audio_15,2.5
audio_157,2.5
audio_41,2.5
audio_16_2,2.5
audio_226_2,3.0
audio_217,3.0
audio_280,2.0
audio_353,3.0
audio_237,2.0
audio_208,2.0
audio_213,5.0
audio_296,3.5
audio_256_2,3.0
audio_252,2.0
audio_195_2,3.0
audio_34_2,4.0
audio_304,3.0
audio_270,3.0
audio_202,3.0
audio_162,2.0
audio_44,3.5
audio_218,3.0
audio_191,3.0
audio_310,2.0
audio_260,2.5
audio_106,5.0
audio_54,2.5
audio_2,2.0
audio_50,3.0
audio_81,2.5
audio_206,2.5
audio_35,2.0
audio_264,3.0
audio_92,2.5
audio_340,4.0
audio_53,3.5
audio_346,3.0
audio_265,3.0
audio_242,3.5
audio_14,2.0
audio_316,2.0
audio_89,2.0
audio_274,3.0
audio_167,3.5
audio_329,3.0
audio_26_2,2.5
audio_135,3.0
audio_307,3.0
audio_10_2,3.0
audio_320,2.5
audio_244,3.5
audio_55,2.0
audio_364,2.5
audio_51,4.5
audio_175,4.0
audio_190,3.0
audio_289_2,2.0
audio_188,3.0
audio_170,2.0
audio_59,4.0
audio_49,2.5
audio_345,4.5
audio_236,3.0
audio_253,3.0
audio_22,3.5
audio_314,3.0
audio_161,2.5
audio_277,2.5
audio_192,2.5
audio_56_2,5.0
audio_294,3.0
audio_344,3.0
audio_258,3.0
audio_309,3.5
audio_150,2.0
audio_131,4.0
audio_152,2.0
audio_360,3.0
audio_100,3.0
audio_328_2,2.0
audio_88,3.5
audio_331,2.0
audio_215,2.0
audio_122,3.0
audio_64_2,2.5
audio_21,3.0
audio_189,3.0
audio_72,3.0
audio_107,3.5
audio_271,3.0
audio_349,2.5
audio_103,4.5
